Operational Profile,Engine Load (%),Potencia Maxima (kw),Engines Running,Speed (kn),Draft Bow (m),Draft Stern (m),DURAÇÃO (h),MDO (m³),MDO (m³/h),Consumo Estimado (m³/h),Consumo Estimado (g/kWh),Consumo Estimado,Unnamed: 13
Eco Transit,0.21,487.2,2.0,4.144,4.638,3.91,0.0052777777777777,0.001919,0.3636,0.0274186958038636,247.3039,494.6078,13.28801240430622
Eco Transit,0.32,742.4,2.0,8.90375581,2.477,4.72148256,0.0477777777777777,0.032825,0.6870348837209302,0.0388800932363636,230.134,460.268,0.1844659020979022
Eco Transit,0.23,533.6,2.0,7.56414102,2.61242308,3.98894872,0.1083333333333333,0.04913,0.4535076923076923,0.0296233811902272,243.9553,487.9106,0.3970408876403973
Transit,0.32,742.4,2.0,9.34429734,4.23064784,4.22891196,1.3377777777777775,0.929526,0.6948284053156146,0.0388800932363636,230.134,460.268,0.958172129411804
Transit,0.33,765.6,2.0,8.98612903,4.27351613,4.26851613,0.0086111111111111,0.005988,0.6953806451612904,0.0398494911675,228.72430000000003,457.44860000000006,5.654891644539078
Transit,0.29,672.8,2.0,10.948,2.494,4.162,0.0091666666666666,0.005664,0.617890909090909,0.0359057382911363,234.5143,469.0286,5.339289952531138
Transit,0.34,788.8000000000001,2.0,9.11947911,4.45977994,4.17828412,0.0997222222222222,0.074095,0.7430139275766017,0.0408085274627272,227.33980000000005,454.6796000000001,0.4492404688207397
Eco Transit,0.33,765.6,2.0,8.83014607,4.28479775,4.24940449,0.0247222222222222,0.017272,0.6986426966292134,0.0398494911675,228.72430000000003,457.44860000000006,1.3071729485583603
Eco Transit,0.36,835.1999999999999,2.0,8.95246154,4.606,3.98753846,0.0144444444444444,0.011366,0.786876923076923,0.04269711168,224.64640000000003,449.29280000000006,2.756564462431814
Transit,0.3,696.0,2.0,9.39813793,4.25244828,4.26410345,0.0161111111111111,0.010396,0.6452689655172414,0.0369086159318181,233.029,466.0580000000001,2.5502708668543845
Transit,0.35,812.0,2.0,9.219664,2.603301,4.541808,0.0297222222222222,0.022966,0.7726878504672897,0.0417576012556818,225.9805,451.961,0.8182357073796837
Fast Transit,0.34,788.8000000000001,2.0,11.05739806,4.4893932,3.73982039,0.0572222222222222,0.043711,0.7638815533980582,0.0408085274627272,227.33980000000005,454.6796000000001,0.0664014215477274
Eco Transit,0.32,742.4,2.0,8.96973913,4.68121739,3.38213043,0.0255555555555555,0.018382,0.7192956521739131,0.0388800932363636,230.134,460.268,1.1151176823176827
Transit,0.36,835.1999999999999,2.0,10.77829276,4.64175475,3.55610511,0.4677777777777778,0.389098,0.8318009501187649,0.04269711168,224.64640000000003,449.29280000000006,0.890266432415484
Transit,0.31,719.2,2.0,10.94438017,4.43720661,4.78970248,0.0336111111111111,0.022787,0.6779603305785125,0.0378999345356818,231.5689,463.1378,0.6632261612183186
Eco Transit,0.37,858.4,2.0,8.61841748,4.58273786,4.92039806,0.0286111111111111,0.02293801,0.8017168543689321,0.0436274578693181,223.3375,446.675,0.9019722229312036
Transit,0.33,765.6,2.0,9.09765306,2.53214286,4.26526531,0.0544444444444444,0.038691,0.7106510204081633,0.0398494911675,228.72430000000003,457.44860000000006,0.0299421355741644
Transit,0.33,765.6,2.0,10.48133187,2.48534972,4.25112004,0.8316666666666667,0.603755,0.7259579158316634,0.0398494911675,228.72430000000003,457.44860000000006,0.9339972486066368
Transit,0.33,765.6,2.0,9.20563646,2.55135249,4.24460994,0.2513888888888889,0.179371,0.71352,0.0398494911675,228.72430000000003,457.44860000000006,0.7778376038071929
Transit,0.32,742.4,2.0,9.38049474,4.51163158,3.6900807,0.0791666666666666,0.055811,0.704981052631579,0.0388800932363636,230.134,460.268,0.3033614657260461
Eco Transit,0.28,649.6,2.0,8.9652549,4.44537908,3.86562092,0.0424999999999999,0.02424401,0.570447294117647,0.03489090248,236.02480000000003,472.04960000000005,0.4391555885350652
Transit,0.3,696.0,2.0,10.92995652,2.492,4.08956522,0.0063888888888888,0.004021,0.6293739130434782,0.0369086159318181,233.029,466.0580000000001,8.178964419750855
Eco Transit,0.31,719.2,2.0,8.94936538,2.557,4.461,0.0144444444444444,0.00960001,0.664616076923077,0.0378999345356818,231.5689,463.1378,2.9479057350650497
Transit,0.33,765.6,2.0,9.047,2.524,4.242,0.0069444444444444,0.005024,0.723456,0.0398494911675,228.72430000000003,457.44860000000006,6.931825471238057
Eco Transit,0.24,556.8,2.0,5.788354,4.404883,4.128678,0.1027777777777777,0.047325,0.4604594594594594,0.0307039948581818,242.3188,484.6376,0.3512098286702204
Transit,0.33,765.6,2.0,10.519537,2.480941,4.250877,0.7069444444444444,0.509941,0.7213310805500983,0.0398494911675,228.72430000000003,457.44860000000006,0.9218547024704818
Transit,0.36,835.1999999999999,2.0,10.88503333,4.583,3.99756667,0.0083333333333333,0.00672,0.8064,0.04269711168,224.64640000000003,449.29280000000006,5.353736857142858
Eco Transit,0.34,788.8000000000001,2.0,8.045727,2.600848,4.56321,0.12,0.08874,0.7395,0.0408085274627272,227.33980000000005,454.6796000000001,0.5401337901428073
Fast Transit,0.3,696.0,2.0,11.02974074,2.553,4.159,0.0075,0.00485,0.6466666666666667,0.0369086159318181,233.029,466.0580000000001,6.610023903467667
Transit,0.34,788.8000000000001,2.0,9.10246512,2.561,4.03,0.0119444444444444,0.008741,0.7318046511627907,0.0408085274627272,227.33980000000005,454.6796000000001,3.6686337332945063
Transit,0.35,812.0,2.0,9.08293662,4.623,3.90817606,0.0394444444444444,0.030312,0.7684732394366197,0.0417576012556818,225.9805,451.961,0.3775930738876292
Transit,0.36,835.1999999999999,2.0,9.52593069,4.57249505,4.84270297,0.1683333333333333,0.13072799,0.7766019207920791,0.04269711168,224.64640000000003,449.29280000000006,0.6733896720970007
Eco Transit,0.24,556.8,2.0,4.20305114,4.52365341,3.79342614,0.0488888888888888,0.02192699,0.4485066136363637,0.0307039948581818,242.3188,484.6376,0.4002831605332888
Eco Transit,0.19,440.8,2.0,4.05282927,4.705,4.13173171,0.0227777777777777,0.007115,0.3123658536585366,0.0251534054593181,250.7533,501.5066000000001,2.5352642950552613
Eco Transit,0.34,788.8000000000001,1.23076923,10.594,2.511,4.055,0.0036111111111111,0.001589,0.4400307692307692,0.0408085274627272,227.33980000000005,454.6796000000001,24.68189267635449
Fast Transit,0.33,765.6,2.0,10.99251163,4.415,4.82890698,0.0119444444444444,0.00857501,0.7179078139534882,0.0398494911675,228.72430000000003,457.44860000000006,3.6471655621975954
Eco Transit,0.25,580.0,2.0,6.07520518,4.64426494,3.8533008,0.1394444444444444,0.072827,0.5222653386454184,0.0317706546875,240.7075,481.415,0.5637517035234184
Transit,0.35,812.0,2.0,9.36755556,2.566,3.884,0.015,0.011502,0.7668,0.0417576012556818,225.9805,451.961,2.6304643762547224
Eco Transit,0.21,487.2,2.0,5.834826,2.338768,4.407858,0.0238888888888888,0.008755,0.3664883720930232,0.0274186958038636,247.3039,494.6078,2.1317756486423343
Eco Transit,0.33,765.6,2.0,8.806234,2.547782,4.433963,0.0130555555555555,0.00927,0.7100425531914893,0.0398494911675,228.72430000000003,457.44860000000006,3.2987584862459545
Fast Transit,0.37,858.4,2.0,11.036,4.578,4.49,0.0038888888888888,0.003267,0.8400857142857143,0.0436274578693181,223.3375,446.675,12.353981594526532
Eco Transit,0.21,487.2,2.0,6.65634846,4.52346499,4.35489188,0.9916666666666666,0.390196,0.3934749579831933,0.0274186958038636,247.3039,494.6078,0.9297309664787348
